,Cities,Temperature,Humidity,Cloudiness,Wind Speed,Latitude
84,maniitsoq,-1.05,98,100,11.7,60.57541235193932
85,san patricio,79.03,62,70,3.0,3.530243487557186
86,jieshi,68.0,79,61,3.8,19.468508690188713
87,khatanga,7.12,93,99,13.02,89.86126595433302
88,rumoi,23.0,92,75,2.24,44.39958362690689
89,sulangan,80.44,79,39,12.62,10.766962943039914
90,saskylakh,0.55,93,94,7.92,79.71993669571489
91,norman wells,-38.2,65,75,3.15,82.52447649093293
92,cidreira,77.07,83,57,11.86,-60.12651869637489
93,iqaluit,-13.0,57,40,23.04,59.89185044383913
94,port elizabeth,44.87,45,1,4.7,-76.29356727376165
95,taksimo,-14.6,97,19,0.58,56.042078825819374
96,avarua,78.8,88,40,4.7,-67.5313854233649
97,udachnyy,8.6,92,43,2.24,65.39660986654587
98,polyarnyy,21.2,85,75,4.47,70.93214328804973
99,touros,80.6,78,20,11.41,-0.6000075094149793
100,beringovskiy,-11.24,86,9,11.25,47.52565748433838
101,alice,63.99,94,100,6.49,-32.66752605846827
102,faanui,82.33,78,68,15.01,-1.895349817226105
103,klyuchi,6.8,88,22,4.29,54.284621942966425
104,srednekolymsk,-20.7,99,20,3.31,69.82842680253609
105,hithadhoo,83.32,76,100,11.63,-14.173059632644183
106,darhan,-3.8,88,22,4.34,47.78298924650346
107,shambu,56.35,80,44,1.61,9.976874895547098
108,imeni poliny osipenko,-9.33,96,32,6.6,52.7765211256899
109,severo-kurilsk,24.57,74,100,16.67,43.46923483566084
110,mareeba,81.48,74,40,6.93,-15.624463753938343
111,mahebourg,77.0,100,75,1.7,-39.60727492131795
112,tessalit,54.86,21,43,11.3,20.509779882205123
113,jaora,58.35,43,60,7.52,23.71745864928991
114,bethel,-17.77,68,1,9.17,48.5703631357859
115,lagoa,50.58,87,0,5.82,46.44450820028118
116,loralai,35.11,89,9,2.71,30.63336635620523
117,carnarvon,65.91,68,90,13.02,-30.889516581891385
118,longyearbyen,10.4,55,40,10.29,81.80503777070376
119,kaitangata,55.99,55,0,13.0,-64.83345811050576
120,bedesa,57.67,84,3,6.11,8.491086201364112
121,sitka,52.0,22,0,18.99,50.46996577412463
122,kruisfontein,64.38,90,100,5.44,-79.45539047063275
123,thompson,-2.2,84,90,10.29,60.649342691433844
124,mount isa,87.8,52,100,9.17,-22.67259867781695
125,westport,40.86,52,40,8.05,55.851979020481565
126,moose factory,10.4,78,90,14.99,52.881584749812504
127,saint anthony,27.73,79,90,1.95,52.53432992050111
128,balikpapan,77.0,100,40,3.36,-1.6599482557771807
129,kindu,68.95,94,100,1.32,-1.3012903991695168
130,kahului,76.71,51,20,23.04,38.464186384943815
131,saldanha,36.88,81,45,2.71,-33.54017273869685
132,new norfolk,64.36,72,75,8.05,-69.37756805279125
133,marechal candido rondon,74.8,83,36,3.69,-24.56295167264024
134,boa vista,89.6,40,20,13.87,0.03341362616653498
135,rio bravo,91.4,55,20,9.17,25.615418413944738
136,byron bay,78.87,74,40,3.36,-29.513659871037788
137,warrnambool,61.0,94,0,7.36,-40.36151798262512
138,port lincoln,69.4,60,0,8.86,-48.6193088344523
139,carballo,41.36,100,20,5.82,46.65940237973268
140,dunedin,52.05,70,20,23.24,-49.57853769831381
141,deputatskiy,-17.95,77,5,1.12,72.15643378851809
142,amazar,-12.5,94,0,1.59,52.45620351682615
143,hobart,64.35,72,75,8.05,-56.54676247093787
144,cam ranh,75.2,88,40,4.7,10.871024554138955
145,huanta,75.2,31,75,1.12,-12.983546267724392
146,rawson,58.68,63,1,12.62,-51.39670744103237
147,tacuati,74.5,90,63,3.13,-22.90445714967349
148,victoria,79.27,83,75,3.36,-3.551665318895516
149,chifeng,16.03,65,67,12.1,45.169142019210426
150,saint-philippe,17.71,85,90,2.24,-43.27237842551905
151,nikolskoye,34.3,96,90,11.18,47.17120001344131
152,guerrero negro,72.43,28,0,3.98,22.65732254243325
153,nampula,73.27,96,99,2.33,-15.285945209449011
154,lasa,56.48,76,75,18.34,30.749354764375155
155,ilhabela,78.78,84,0,9.44,-28.232881311797343
156,peyima,64.51,41,7,0.47,8.80162092581493
157,binghamton,32.07,78,1,12.75,41.87226033135846
158,chuy,68.36,74,35,6.11,-54.688474845062586
159,luderitz,68.0,64,100,14.99,-32.24517053494728
160,vila velha,83.66,74,20,6.93,-23.73437504478538
161,zhmerynka,25.0,80,0,3.65,49.12499629844925
162,xichang,27.64,61,17,3.53,29.602634007055315
163,half moon bay,58.75,47,1,9.17,33.13100796650913
164,fort morgan,40.44,18,1,26.4,40.822283253907926
165,los zacatones,68.0,11,75,11.41,23.260915256102905
166,ossora,9.0,94,90,5.17,58.200345016460915
167,moerai,79.59,73,62,7.11,-20.829229565347532
168,colares,47.57,76,0,6.93,38.44959455726601
169,pevek,-8.93,69,0,5.19,74.98230160253891
170,kachug,8.76,96,98,1.66,53.64490666682502
171,esperance,69.8,37,0,9.17,-33.90437580499739
172,tiksi,-2.31,85,100,16.58,77.06136407299539
173,muros,42.66,100,20,4.7,44.00971076654699
174,aromashevo,14.74,96,100,6.55,57.225168926126
175,oriximina,81.41,78,100,5.93,-1.0134996487539922
176,matamoros,74.5,50,1,17.22,24.128135882024708
177,cortes,80.38,79,84,12.35,9.252100317221377
178,hofn,40.42,62,32,31.79,62.95222019414973
179,lahij,77.63,75,85,7.38,14.05450211801238
180,yulara,77.0,61,100,11.41,-26.826425347508774
181,malmyzh,20.86,96,100,3.58,56.5392520849735
182,hasaki,33.96,74,20,3.36,29.433892739418184
183,tautira,84.09,74,75,8.05,-16.586189776725234
184,coreau,74.5,91,100,3.67,-3.5526131577100273
185,lilongwe,65.5,92,100,1.28,-15.031730768951576
186,moussoro,65.23,21,0,9.86,15.14419846613717
187,kapaa,79.74,74,75,20.8,34.323108234497155
188,pacific grove,59.13,63,1,11.41,25.23644616020178
189,kuzovatovo,23.68,95,100,4.97,53.573123913847894
190,ancud,55.4,87,90,11.41,-42.064058411958584
191,college,-33.52,65,20,2.39,70.6560046082399
192,burlington,35.6,74,20,17.22,40.951104939785125
193,pandan,79.74,80,84,17.65,14.796198841672819
194,afyonkarahisar,33.87,98,99,3.15,38.88837862762665
195,bay roberts,26.47,86,90,9.17,46.6215759702182
196,port macquarie,82.54,65,58,8.05,-33.074789102598054
197,soyo,80.19,82,100,3.36,-8.800424117660015
198,samana,85.73,66,20,4.7,20.014321675511027
199,dori,66.27,22,22,9.64,13.471146023655294
200,raudeberg,45.0,87,75,31.09,66.48798040256736
201,los llanos de aridane,64.4,59,20,13.87,25.571722400491737
202,upernavik,-4.34,84,100,6.71,82.1980372011466
203,piedra gorda,75.92,81,57,5.86,22.480544431789895
204,ucluelet,41.58,93,90,5.82,47.13882496856104
205,lebu,53.6,87,20,6.93,-29.79709706110873
206,ribeira grande,61.52,94,97,17.6,28.185396996046308
207,vila franca do campo,64.4,93,75,10.29,42.68634202035551
208,portland,22.46,73,90,5.82,-51.55805273465846
209,talnakh,12.2,92,40,17.9,76.7647384021655
210,gillette,32.59,34,1,18.34,44.83303438029486
211,maragogi,80.24,77,0,15.19,-14.523749876512866
212,waingapu,84.04,77,87,21.47,-13.442453601059427
213,manaure,79.3,83,31,18.01,12.41783127721446
214,erzin,50.0,81,75,10.29,48.01029903382471
215,arman,13.68,84,58,6.51,59.53027557173016
216,isla mujeres,75.09,64,75,5.82,21.19856911362625
217,north bend,50.85,87,90,10.29,42.262246248856485
218,nizhniy bestyakh,-18.4,75,40,2.24,61.682031726466334
219,parang,70.65,82,100,1.32,14.587762808190249
220,kazachinskoye,11.23,96,79,4.63,56.28529798501211
221,omboue,75.78,91,91,2.3,-6.248960422548478
222,igarka,8.29,93,100,7.76,67.79023652176124
223,vallenar,61.41,74,0,5.86,-28.02333466606285
224,shelburne,29.88,92,75,11.41,44.291146143291684
225,haines junction,-1.75,99,99,3.09,55.6544385809359
226,pulandian,33.91,75,40,11.18,39.30100014421163
227,kudahuvadhoo,81.37,81,84,12.97,2.3737204575663213
228,pawai,56.12,52,42,2.77,24.23010029033098
229,sunland park,58.42,11,1,11.41,31.565130052996693
230,tarko-sale,5.65,93,96,10.89,64.81810056797244
231,gobabis,65.03,82,95,12.57,-21.734040718002646
232,manubul,81.59,72,100,11.16,4.672315537199367
233,adre,63.43,28,50,8.3,12.773943467497688
234,waipawa,66.4,34,36,12.5,-42.42696280160706
235,magistralnyy,11.88,95,97,5.53,54.77133246916756
236,santa rosa,67.96,24,0,7.23,-17.5993703695014
237,clyde river,-18.4,75,75,23.04,68.96362512987312
238,puerto escondido,84.2,66,5,6.93,9.288430287854396
239,gornopravdinsk,8.24,97,97,5.88,61.81162028232686
240,arkadak,15.24,96,51,5.3,51.737274844875316
241,acapulco,86.0,62,5,5.82,4.465421044528853
242,del rio,79.38,12,1,18.34,30.198551012997697
243,ugoofaaru,82.71,74,74,19.48,5.629740378540177
244,tuatapere,54.0,76,98,8.99,-51.39092750073963
245,takoradi,78.82,71,42,4.99,-2.351714065987693
246,flinders,72.12,100,40,6.93,-32.917626054407954
247,lakatoro,82.18,79,100,15.52,-16.69606545046112
248,derzhavinsk,7.65,85,79,4.03,48.67841393819299
249,hit,53.17,60,0,6.89,33.553324324492536
250,hamilton,35.6,74,20,17.22,46.475208742382705
251,cabedelo,80.6,83,20,9.17,-5.398995440010168
252,porto novo,80.6,57,20,5.82,14.799841766926548
253,comodoro rivadavia,62.6,55,44,13.87,-46.780479451932784
254,roald,43.84,70,96,19.46,73.29457415322437
255,lagoa da prata,71.56,87,1,3.24,-19.97323012732859
256,dikson,12.13,95,100,10.51,85.23772279606229
257,alofi,84.2,79,75,4.7,-26.629800052832294
258,piracanjuba,70.66,93,6,3.11,-17.345978245550427
259,sawakin,72.66,69,2,12.03,21.398559893913443
260,talaya,19.83,85,75,11.18,61.87628402838902
261,blind river,27.48,63,90,8.05,46.25866838541438
262,san vicente,76.39,86,21,8.63,18.943852927617627
263,menongue,64.04,94,100,3.4,-14.22086169782861
264,palmerston,78.26,94,75,1.12,-12.415704500326129
265,fort nelson,-20.2,75,20,1.36,62.2560083989645
266,mgachi,9.66,96,59,2.17,51.284592430180936
267,deqing,55.22,93,19,1.43,30.516968011952926
268,cayenne,78.8,78,55,3.36,11.062948042315824
269,nemuro,29.89,72,10,21.74,34.67657757465447
270,jardim,80.4,69,53,4.54,3.1276940659720935
271,ornes,33.57,100,90,2.24,67.18939191354752
272,iralaya,80.6,83,40,10.29,16.76436952647407
273,santana do livramento,73.35,49,63,6.58,-30.489880207850568
274,jiuquan,16.48,43,10,3.2,41.43823343827566
275,deloraine,66.29,63,40,4.7,49.08609946814357
276,margate,64.35,72,75,8.05,-46.971840534963896
277,nouadhibou,62.6,63,100,18.34,24.193455771223228
278,isabela,72.93,83,95,9.37,19.44009979323893
279,port-gentil,82.4,88,20,5.82,-1.3297220186955627
280,bud,42.75,61,100,14.99,66.70427517877789
281,wanning,26.11,100,0,3.36,16.45494154262319
282,kieta,86.2,67,39,5.82,-4.253203460744615
283,salalah,75.2,83,40,3.36,17.352323161694756
284,abu kamal,50.41,68,0,11.05,34.265161547477234
285,kirkuk,45.86,71,0,7.18,35.4511230377948
286,nantucket,34.32,93,90,5.82,35.977333614245495
287,nadym,4.55,85,0,16.37,64.85955415268194
288,souillac,40.37,93,90,3.36,-41.43851541758338
289,xining,14.31,89,90,3.36,34.006151890721256
290,yeppoon,82.4,65,75,8.05,-21.3577879965045
291,east london,73.35,75,100,7.52,-61.75405383069269
292,manoel urbano,79.09,76,93,2.77,-9.812438370036176
293,riverton,32.0,64,1,14.99,42.59075989040568
294,moate,41.11,92,64,1.01,53.56171523120469
295,flin flon,5.0,77,90,16.11,60.19394944322465
296,muli,40.82,97,54,2.26,2.5798937314165755
297,sao joao da barra,77.77,89,100,12.17,-27.71666786088535
298,ajdabiya,54.57,66,99,14.0,30.402123107328194
299,lorengau,84.29,75,74,9.44,-1.35228264767305
300,kavaratti,80.62,72,100,5.68,11.037818636828689
301,komsomolskiy,10.67,92,100,18.52,82.61155684275053
302,lata,16.23,96,100,0.83,-9.817904414190536
303,praia,67.32,93,30,0.63,11.56670438799884
304,smithers,15.8,92,20,1.21,59.496326491849175
305,katsuura,43.39,75,75,4.7,29.628910211427126
306,lebork,37.92,93,90,8.05,54.51717360018972
307,lima,73.4,83,40,14.99,-17.505298551328096
308,doha,61.29,59,0,8.05,27.800849506607705
309,varzea grande,70.97,83,71,0.83,-15.643367373536648
310,zyryanka,-16.83,86,0,5.5,65.90228486555895
311,rosetta,51.8,66,40,14.99,33.17576239169597
312,vao,36.48,97,100,7.56,-28.63218758727016
313,miramar,75.22,50,38,24.16,22.70812476504814
314,galesong,75.2,100,20,4.7,-5.476345246756267
315,alice springs,75.2,53,90,4.7,-24.71469255689071
316,porto belo,80.73,78,0,12.75,-27.43061439689037
317,richards bay,77.67,84,100,18.57,-31.269291727683367
318,clarksdale,58.64,93,83,6.93,34.1549320729913
319,kodiak,42.3,55,90,6.98,46.82396198641317
320,agartala,51.8,81,0,2.71,23.999464827408687
321,tsabong,71.44,64,100,2.75,-26.81589792963002
322,shyroke,30.97,96,100,10.38,47.654846030857385
323,yining,45.63,93,100,3.62,43.783911787094894
324,tilichiki,3.78,94,100,7.07,61.38598241746189
325,port augusta,73.29,64,0,9.17,-27.307787808701434
326,manicore,81.99,71,98,2.04,-6.447040879196919
327,faya,56.32,71,0,6.93,20.964102832657858
328,jinchang,15.48,69,82,4.43,41.413109267412864
329,sorong,75.79,97,100,2.44,1.1216944661817934
330,ostrovnoy,9.55,96,70,5.55,76.54199320977173
331,nadudvar,24.8,92,8,2.24,47.37785716109522
332,steinbach,29.08,68,75,20.8,48.78240144213618
333,quang ngai,72.28,86,57,9.98,15.318242982800655
334,gwadar,74.71,70,17,12.82,22.91178770043348
335,mercedes,75.99,44,50,5.99,-28.645458008744257
336,samarkand,30.2,80,75,4.7,39.42855239880876
337,halifax,22.26,79,90,4.7,41.56663661595431
338,atherton,82.4,74,40,6.93,-18.086819271626254
339,mayo,-36.4,65,20,2.01,63.01609929607048
340,makakilo city,78.78,78,90,18.34,8.069290328872242
341,chabahar,69.82,69,0,4.74,25.508585982494807
342,berdigestyakh,13.68,95,100,5.79,60.80509028079197
343,sola,63.63,92,92,5.08,-13.119274224912445
344,gunjur,69.8,43,93,6.93,12.225762254258967
345,leningradskiy,-9.85,77,0,10.65,78.8937092446211
346,buala,84.49,75,63,10.92,-2.6683622105520044
347,dingle,76.15,90,46,9.82,51.11374329249901
348,samarai,86.38,61,99,3.98,-14.39452303684395
349,mazagao,80.6,94,75,6.93,0.5408177932803113
350,arlit,59.54,23,10,12.68,18.179579680078163
351,porto walter,79.99,66,44,3.51,-9.522126796074417
352,poum,22.48,58,0,3.96,-19.361323193802804
353,baruun-urt,1.54,78,0,6.6,47.16663642699828
354,emerald,79.72,74,40,10.29,-25.20753096108733
355,macklin,0.36,86,0,6.2,52.565027155475406
356,san ignacio,69.4,77,6,1.54,17.591561989885477
357,labuhan,75.9,92,100,1.34,-8.592500448877558
358,espanola,16.23,88,96,7.23,36.47870020271145
359,anadyr,-28.21,67,0,4.47,58.975506502303716
360,smoky lake,-4.43,86,0,3.15,53.95123019548089
361,tromso,34.86,86,75,27.51,73.00594250927549
362,sihora,52.79,56,13,1.61,23.53446672467159
363,bilibino,-18.15,93,0,2.68,71.64544584324852
364,cadillac,32.09,54,1,12.75,44.200253049877944
365,bagula,55.69,59,0,5.41,23.419802446968873
366,capreol,21.09,73,90,10.29,47.19705625004883
367,karratha,85.87,71,100,6.42,-16.4390512934783
368,turka,14.13,82,9,11.16,53.34003115503705
369,bonavista,25.74,74,100,10.65,53.505483348871394
370,oranjestad,77.0,88,75,12.75,13.770636939525218
371,ferzikovo,28.4,68,90,6.71,54.49397017737556
372,abu dhabi,67.06,56,20,8.05,23.4799623030315
373,linkoping,43.36,87,100,6.93,58.57604643143122
374,melo,72.19,48,49,5.97,-32.15195030512497
375,the valley,79.0,73,0,7.0,24.108539848211322
376,harper,74.5,39,1,5.82,-0.22227736040770196
377,santa marta,63.55,92,97,5.26,14.338776921628764
378,paramirim,67.69,91,100,3.65,-13.47057275987035
379,keti bandar,58.37,69,0,16.33,23.19350878169878
380,foz do iguacu,76.41,83,40,9.17,-25.820067165982607
381,isangel,86.0,70,75,11.41,-20.59982448226495
382,tazovskiy,0.46,93,0,13.15,69.95831608817494
383,pauini,75.78,94,83,2.04,-6.62442450086975
384,mineiros,71.01,92,67,8.08,-17.650633499579513
385,rio cuarto,73.4,40,0,3.36,-33.83799124596448
386,padang,69.21,88,91,4.97,-9.75542907668762
387,dharchula,29.68,98,100,0.89,29.415699798530298
388,thinadhoo,83.66,75,100,16.22,-0.13374230967166056
389,dalbandin,49.21,85,8,4.21,30.099134277212997
390,san policarpo,80.01,84,62,14.45,15.345746941527139
391,bocana de paiwas,71.83,94,55,8.88,12.933660877648478
392,port hedland,86.0,51,90,9.17,-17.68833414861055
393,zunyi,41.2,85,2,4.59,27.132459778619747
394,mongo,72.73,92,100,1.34,11.915085383952544
395,cabo san lucas,75.99,47,5,3.36,16.906415203750697
396,miandrivazo,79.32,80,82,2.33,-19.215392185949312
397,nhulunbuy,80.6,94,40,3.36,-8.980743775230309
398,tahoua,68.0,19,10,9.17,15.454215627593697
399,san-pedro,80.31,70,0,8.41,4.435452934175203
400,berlevag,23.07,79,75,4.7,80.95646389256865
401,ler,39.47,61,62,8.05,8.739289023812418
402,linfen,34.59,94,100,4.65,36.60142809414948
403,truckee,47.86,23,20,10.29,39.138967044318775
404,inverness,41.7,75,4,17.22,46.01134306414016
405,freeport,68.0,64,20,10.29,27.770861898192706
406,mount pleasant,64.2,34,1,9.17,32.786457291832804
407,saint-pierre,40.51,100,90,13.87,41.95198386388216
408,murmansk,21.2,85,75,4.47,69.28084750177251
409,okhotsk,-8.61,78,1,13.15,58.88218087426486
410,bandarbeyla,78.85,81,16,13.6,7.993418220128291
411,saint-denis,43.36,93,90,5.82,-18.395423450315576
412,havoysund,33.57,80,100,12.75,71.82834571087338
413,kjopsvik,43.18,93,100,21.92,66.88269702425134
414,hurricane,47.46,32,0,1.14,37.34179010428592
415,kasane,70.29,86,98,5.3,-17.051444860438764
416,abong mbang,66.6,48,35,1.88,3.1265582040525146
417,la ronge,-4.0,70,75,23.04,63.07966531088479
418,klaksvik,42.8,70,23,21.92,65.17492510658525
419,qandala,74.52,81,45,3.98,14.55494985426499
420,tera,56.53,76,75,18.34,14.227424867915602
421,santa vitoria do palmar,68.36,74,35,6.11,-35.21099642747982
422,trinidad,78.8,94,75,3.36,-33.60375782347161
423,binga,76.12,81,98,6.51,1.5089518163960634
424,olinda,63.23,93,90,5.82,-9.427100249857403
425,hami,16.7,52,0,0.85,42.43406847392265
426,kemin,17.44,69,100,2.55,42.761405288564305
427,luganville,84.2,79,75,10.29,-15.832049513265872
428,sherlovaya gora,-3.03,87,15,3.04,50.46504781774274
429,pisco,71.28,30,1,21.92,-16.252559895463122
430,taltal,62.85,82,0,2.57,-24.48563888060302
431,cariamanga,82.4,48,40,10.29,-4.243287486255056
432,colac,60.87,97,7,1.99,-38.509143141629295
433,conde,81.0,80,61,16.49,-13.970533949405166
434,mindelo,40.23,100,30,2.24,15.30414634706321
435,muhos,33.33,100,90,5.82,64.59904688263723
436,ipixuna,75.2,100,75,6.93,-5.812809242830113
437,dogondoutchi,71.56,25,30,8.86,13.395830069266182
438,privas,39.94,93,12,3.36,44.71169519107718
439,benguela,77.85,84,99,5.23,-12.190447379006429
440,sisian,33.8,74,90,4.7,39.31480954160048
441,zabaykalsk,4.32,95,86,4.21,49.08103851272517
442,grand-lahou,80.74,71,0,10.76,3.073192529361137
443,umm kaddadah,61.95,22,61,9.66,15.340331785491855
444,sorland,44.49,84,100,30.51,68.73720373459102
445,mocuba,72.66,97,100,2.28,-17.09448070445798
446,upata,72.91,80,60,4.9,7.390992578063717
447,koutiala,64.08,20,96,7.31,12.248324474766605
448,ha giang,58.84,95,43,0.49,23.661344496596016
449,marawi,75.0,90,99,3.0,17.081938932754554
450,piracuruca,75.56,88,100,4.27,-3.812927317140506
451,saint-joseph,42.3,93,75,2.24,-31.719126830116814
452,vardo,44.53,30,1,10.29,84.64587445695128
453,scarborough,44.15,81,2,9.17,54.62964652482336
454,shirokiy,23.92,88,97,5.5,65.26995218761328
455,vologda,23.31,93,100,8.16,58.76341004595815
456,cedar city,42.31,41,1,0.51,38.347610096985704
457,ukiah,55.38,41,1,3.36,34.38287650891979
458,merauke,84.4,74,92,6.53,-9.264865363053389
459,uray,4.78,91,0,5.7,60.064581691583555
460,gao,62.31,21,4,8.66,16.914573835146214
461,fairbanks,-30.84,65,20,1.01,67.24109429875242
462,mehamn,27.86,86,40,11.41,78.93130604290425
463,lompoc,70.29,26,1,3.36,26.775205167467362
464,hay river,-13.0,75,75,10.29,64.4581501321617
465,susanville,45.1,45,1,3.36,41.2984359692216
466,peniche,47.01,93,1,1.12,39.70727612781266
467,kodarma,53.29,59,15,3.15,24.478643143284472
468,carndonagh,38.7,91,37,8.23,55.21147469225318
469,luanda,80.6,83,75,9.17,-8.170797728668305
470,taoudenni,53.37,17,43,7.2,22.804824855620794
471,muscat,75.2,64,40,6.93,24.797533943271958
472,kloulklubed,82.0,75,76,21.79,4.005604431177801
473,killybegs,45.55,77,44,18.23,58.27961783888662
474,boguchany,8.47,96,31,3.83,58.62847062154711
475,puerto colombia,81.66,69,20,18.34,12.459599871832552
476,key biscayne,69.98,53,75,11.41,25.49094631209651
477,tvoroyri,42.8,70,73,21.92,61.49765719985231
478,linjiang,20.7,97,100,2.21,40.400723202604695
479,lamar,52.12,11,1,21.92,37.72631182030082
480,darab,45.27,60,0,0.96,28.726833497312867
481,buraydah,53.6,46,40,6.93,25.934441292367424
482,kutum,58.77,29,30,4.03,18.88058035308532
483,coahuayana,79.66,31,11,1.21,0.6641831293315477
484,eten,66.2,29,0,18.34,-7.411249236704506
485,skjervoy,38.43,80,100,15.41,73.80130360591053
486,carthage,69.85,46,1,5.82,37.44595702886723
487,baracoa,76.19,85,94,18.37,20.07264394998232
488,nyurba,17.15,93,100,8.48,67.09682235070923
489,pangkalanbuun,77.67,94,90,1.92,-2.129169181797124
490,general pico,66.7,33,0,6.02,-35.41658420784932
491,adrar,48.2,29,39,13.87,28.216628765274578
492,anchorage,-5.39,76,90,2.53,63.61321235227703
493,estevan,26.19,73,1,17.22,49.02815582040827
494,hambantota,75.2,100,31,8.05,1.7026274831849548
495,khani,50.0,43,44,26.4,59.997901454769504
496,shenjiamen,61.84,93,55,23.09,29.81536335860831
497,ayagoz,3.33,71,0,1.68,47.553766740007774
498,calvia,50.59,93,0,3.36,39.2004534808996
499,tiarei,86.0,66,40,8.05,-13.110315378173652
500,praia da vitoria,64.4,88,20,17.69,40.89003509686094
501,naze,77.0,78,100,2.46,24.649460179938444
502,soe,35.53,100,90,8.05,-10.66176271240002
503,muncar,80.94,80,100,7.29,-9.749396469859875
504,urucara,77.56,77,23,4.21,-0.4839759140247537
